Home Win/Loss,Home Team Streak,Away Team Streak,record_home,record_away,fg_pct_home Rolling Avg,fg_pct_away Rolling Avg,fg3_pct_home Rolling Avg,fg3_pct_away Rolling Avg,ft_pct_home Rolling Avg,ft_pct_away Rolling Avg,reb_home Rolling Avg,reb_away Rolling Avg,ast_home Rolling Avg,ast_away Rolling Avg,stl_home Rolling Avg,stl_away Rolling Avg,blk_home Rolling Avg,blk_away Rolling Avg,tov_home Rolling Avg,tov_away Rolling Avg,plus_minus_home Rolling Avg,plus_minus_away Rolling Avg
W,0.0,0.0,0.16666666666666666,0.5,0.42460000000000003,0.477,0.32439999999999997,0.34740000000000004,0.7238,0.7986,45.0,42.2,21.0,29.4,4.6,7.2,3.2,4.6,13.4,15.8,-16.6,-4.6
W,2.0,0.0,1.0,0.16666666666666666,0.48460000000000003,0.4182,0.3616,0.36920000000000003,0.8438000000000001,0.7554000000000001,45.0,45.4,29.8,19.4,7.6,7.4,4.0,5.4,13.6,16.0,11.8,-8.6
W,0.0,0.0,0.6,0.6,0.48900000000000005,0.4918,0.388,0.37439999999999996,0.8506,0.7936,39.0,42.4,23.8,24.6,6.2,6.8,5.8,6.4,13.8,15.8,-1.0,2.0
W,0.0,2.0,0.0,0.6666666666666666,0.4166,0.488,0.24180000000000001,0.4156000000000001,0.7596,0.6898,45.6,47.4,23.4,28.6,10.0,6.6,5.4,3.6,16.2,13.8,-8.4,2.4
W,0.0,1.0,0.4,0.16666666666666666,0.4746,0.44639999999999996,0.3688,0.2792,0.7448,0.7594000000000001,43.0,44.8,20.0,19.6,7.4,6.8,5.0,5.8,14.6,14.0,7.0,-4.0
L,0.0,0.0,0.4,0.6,0.4734,0.49079999999999996,0.32880000000000004,0.3942,0.7508,0.7978,46.4,43.6,20.0,26.8,7.2,8.6,5.8,4.2,18.0,14.8,-6.2,4.4
W,1.0,2.0,0.6666666666666666,0.6666666666666666,0.49420000000000003,0.4974,0.4316,0.35960000000000003,0.7564,0.7168,42.6,48.6,33.8,26.4,7.6,8.6,3.2,5.8,16.2,15.6,2.8,3.2
W,0.0,0.0,0.3333333333333333,0.14285714285714285,0.4646,0.41100000000000003,0.32320000000000004,0.3426,0.7448,0.8046,42.6,46.2,21.2,19.4,6.4,8.0,5.6,4.4,16.4,16.2,-11.6,-10.2
L,1.0,1.0,0.5,0.2,0.4554,0.487,0.36719999999999997,0.362,0.7188000000000001,0.7205999999999999,46.6,42.8,28.4,27.4,6.0,5.8,4.2,4.0,13.6,15.6,-2.2,-4.6
L,0.0,0.0,0.5,0.42857142857142855,0.47800000000000004,0.4878,0.3472,0.4226,0.7727999999999999,0.8102,42.0,39.0,24.8,26.6,6.8,7.8,5.6,5.2,14.4,13.4,-3.0,4.4
W,4.0,1.0,1.0,0.2857142857142857,0.4574,0.4344,0.3564,0.3592,0.6982,0.784,51.6,44.6,24.2,20.6,6.8,4.2,8.2,3.4,13.6,13.6,10.4,-9.0
