Home Team,Away Team,Game Date,Winner,Home Win/Loss,fg_pct_home,fg3_pct_home,ft_pct_home,reb_home,ast_home,stl_home,blk_home,tov_home,plus_minus_home,fg_pct_away,fg3_pct_away,ft_pct_away,reb_away,ast_away,stl_away,blk_away,tov_away,plus_minus_away
CHI,PHI,2022-10-29,PHI,L,0.45,0.355,0.897,40.0,22.0,7.0,3.0,18.0,-5,0.494,0.483,0.815,41.0,28.0,8.0,6.0,19.0,5
UTA,MEM,2022-10-29,UTA,W,0.517,0.432,0.75,34.0,30.0,8.0,6.0,20.0,1,0.568,0.444,0.733,40.0,24.0,11.0,5.0,20.0,-1
DAL,OKC,2022-10-29,OKC,L,0.4,0.2,0.794,49.0,17.0,8.0,5.0,16.0,-6,0.494,0.2,0.774,47.0,25.0,9.0,6.0,15.0,6
BKN,IND,2022-10-29,IND,L,0.5,0.359,0.769,34.0,29.0,6.0,9.0,9.0,-9,0.426,0.5,0.846,53.0,31.0,7.0,1.0,12.0,9
MIL,ATL,2022-10-29,MIL,W,0.489,0.389,0.655,49.0,24.0,8.0,5.0,12.0,8,0.479,0.448,0.8,42.0,19.0,5.0,2.0,13.0,-8
CHA,GSW,2022-10-29,CHA,W,0.422,0.323,0.774,55.0,32.0,2.0,2.0,10.0,7,0.44,0.295,0.75,49.0,31.0,8.0,6.0,10.0,-7
CLE,NYK,2022-10-30,CLE,W,0.461,0.46,0.842,43.0,33.0,3.0,5.0,14.0,13,0.489,0.37,0.5,45.0,26.0,9.0,2.0,14.0,-13
DET,GSW,2022-10-30,DET,W,0.482,0.424,0.895,47.0,24.0,4.0,3.0,16.0,14,0.424,0.308,0.96,42.0,23.0,8.0,4.0,15.0,-14
PHX,HOU,2022-10-30,PHX,W,0.536,0.3,0.733,36.0,29.0,9.0,8.0,12.0,15,0.437,0.324,0.846,49.0,18.0,7.0,1.0,15.0,-15
BOS,WAS,2022-10-30,BOS,W,0.456,0.447,0.95,47.0,29.0,4.0,5.0,14.0,18,0.388,0.219,0.688,51.0,22.0,5.0,6.0,10.0,-18
LAL,DEN,2022-10-30,LAL,W,0.479,0.433,0.8,51.0,24.0,5.0,5.0,9.0,11,0.427,0.375,0.722,48.0,24.0,3.0,8.0,9.0,-11
DAL,ORL,2022-10-30,DAL,W,0.494,0.314,0.75,37.0,15.0,10.0,1.0,4.0,9,0.457,0.379,0.741,47.0,20.0,2.0,5.0,12.0,-9
LAC,NOP,2022-10-30,NOP,L,0.419,0.282,0.615,39.0,24.0,3.0,6.0,15.0,-21,0.495,0.417,0.625,50.0,32.0,9.0,1.0,13.0,21
SAS,MIN,2022-10-30,SAS,W,0.419,0.4,0.76,52.0,27.0,6.0,7.0,20.0,9,0.404,0.138,0.7,45.0,21.0,11.0,7.0,11.0,-9
LAC,HOU,2022-10-31,LAC,W,0.425,0.25,0.706,46.0,23.0,7.0,10.0,14.0,2,0.386,0.286,0.739,44.0,17.0,9.0,8.0,15.0,-2
CHA,SAC,2022-10-31,SAC,L,0.512,0.483,0.571,38.0,31.0,11.0,6.0,21.0,-7,0.435,0.386,0.857,42.0,26.0,8.0,4.0,19.0,7
WAS,PHI,2022-10-31,PHI,L,0.469,0.4,0.962,41.0,22.0,8.0,4.0,16.0,-7,0.554,0.4,0.7,37.0,26.0,14.0,3.0,14.0,7
MIL,DET,2022-10-31,MIL,W,0.437,0.275,0.793,50.0,20.0,5.0,5.0,16.0,2,0.446,0.276,0.857,43.0,19.0,9.0,3.0,12.0,-2
TOR,ATL,2022-10-31,TOR,W,0.5,0.412,0.825,44.0,25.0,13.0,9.0,7.0,30,0.464,0.379,0.8,37.0,28.0,1.0,4.0,18.0,-30
BKN,IND,2022-10-31,BKN,W,0.538,0.367,0.95,39.0,26.0,11.0,9.0,20.0,7,0.471,0.282,0.696,38.0,23.0,11.0,5.0,24.0,-7
UTA,MEM,2022-10-31,UTA,W,0.472,0.404,0.818,48.0,26.0,10.0,6.0,16.0,16,0.413,0.231,0.548,52.0,14.0,8.0,4.0,16.0,-16
BKN,CHI,2022-11-01,CHI,L,0.486,0.375,0.789,38.0,27.0,4.0,7.0,18.0,-9,0.438,0.4,0.857,44.0,20.0,8.0,4.0,10.0,9
PHX,MIN,2022-11-01,PHX,W,0.461,0.395,0.773,34.0,31.0,9.0,8.0,11.0,9,0.425,0.382,0.833,42.0,24.0,5.0,4.0,18.0,-9
OKC,ORL,2022-11-01,OKC,W,0.474,0.294,0.8,36.0,28.0,13.0,9.0,17.0,8,0.448,0.345,1.0,49.0,20.0,7.0,10.0,25.0,-8
MIA,GSW,2022-11-01,MIA,W,0.455,0.381,1.0,39.0,32.0,7.0,3.0,15.0,7,0.464,0.367,0.765,41.0,31.0,8.0,5.0,20.0,-7
PHI,WAS,2022-11-02,WAS,L,0.464,0.528,0.7,32.0,25.0,3.0,1.0,8.0,-10,0.577,0.238,0.813,43.0,27.0,4.0,9.0,8.0,10
LAL,NOP,2022-11-02,LAL,W,0.459,0.278,0.87,56.0,30.0,6.0,8.0,18.0,3,0.461,0.32,0.714,51.0,35.0,10.0,5.0,14.0,-3
SAS,TOR,2022-11-02,TOR,L,0.394,0.326,0.857,46.0,29.0,3.0,6.0,23.0,-43,0.538,0.424,0.938,50.0,31.0,16.0,6.0,11.0,43
MIA,SAC,2022-11-02,MIA,W,0.494,0.324,0.846,46.0,27.0,5.0,5.0,11.0,3,0.477,0.361,0.857,39.0,29.0,4.0,3.0,12.0,-3
CLE,BOS,2022-11-02,CLE,W,0.42,0.282,0.792,51.0,24.0,6.0,4.0,11.0,1,0.409,0.268,0.963,52.0,26.0,5.0,9.0,14.0,-1
CHI,CHA,2022-11-02,CHI,W,0.432,0.452,0.889,51.0,28.0,6.0,9.0,20.0,18,0.391,0.219,0.563,47.0,22.0,12.0,12.0,17.0,-18
MIL,DET,2022-11-02,MIL,W,0.467,0.263,0.833,52.0,24.0,17.0,5.0,16.0,25,0.418,0.355,0.933,35.0,18.0,7.0,3.0,21.0,-25
NYK,ATL,2022-11-02,ATL,L,0.411,0.278,0.75,52.0,23.0,3.0,9.0,17.0,-13,0.411,0.353,0.75,51.0,28.0,11.0,4.0,9.0,13
POR,MEM,2022-11-02,MEM,L,0.404,0.394,0.808,46.0,27.0,5.0,3.0,20.0,-5,0.458,0.464,0.815,46.0,28.0,7.0,5.0,15.0,5
HOU,LAC,2022-11-02,LAC,L,0.42,0.289,0.762,50.0,17.0,9.0,5.0,19.0,-8,0.488,0.364,0.789,43.0,20.0,10.0,6.0,15.0,8
